I,II,time
-0.19,0.64,0.0
-0.19,0.64,0.002777778
-0.2,0.65,0.005555556
-0.19,0.64,0.008333333
-0.16,0.65,0.011111111
-0.16,0.65,0.013888889
-0.14,0.63,0.016666667
-0.16,0.62,0.019444444
-0.14,0.61,0.022222222
-0.13,0.62,0.025
-0.11,0.6,0.027777778
-0.13,0.58,0.030555556
-0.11,0.56,0.033333333
-0.13,0.55,0.036111111
-0.11,0.55,0.038888889
-0.1,0.55,0.041666667
-0.1,0.54,0.044444444
-0.07,0.52,0.047222222
-0.07,0.5,0.05
-0.07,0.48,0.052777778
-0.07,0.49,0.055555556
-0.05,0.47,0.058333333
-0.03,0.47,0.061111111
-0.03,0.44,0.063888889
-0.02,0.44,0.066666667
-0.04,0.44,0.069444444
-0.03,0.42,0.072222222
-0.02,0.44,0.075
-0.01,0.42,0.077777778
-0.01,0.4,0.080555556
-0.01,0.37,0.083333333
-0.01,0.37,0.086111111
-0.01,0.36,0.088888889
0.01,0.38,0.091666667
0.01,0.37,0.094444444
0.03,0.36,0.097222222
-0.01,0.35,0.1
-0.01,0.36,0.102777778
-0.01,0.35,0.105555556
-0.01,0.37,0.108333333
0.01,0.37,0.111111111
0.01,0.37,0.113888889
-0.01,0.35,0.116666667
-0.01,0.35,0.119444444
-0.01,0.37,0.122222222
0.01,0.37,0.125
0.01,0.37,0.127777778
0.01,0.39,0.130555556
0.0,0.37,0.133333333
-0.01,0.37,0.136111111
0.0,0.36,0.138888889
0.01,0.37,0.141666667
0.01,0.37,0.144444444
-0.01,0.37,0.147222222
-0.02,0.37,0.15
-0.04,0.36,0.152777778
-0.05,0.37,0.155555556
-0.03,0.37,0.158333333
-0.01,0.39,0.161111111
-0.01,0.38,0.163888889
-0.02,0.37,0.166666667
-0.04,0.38,0.169444444
-0.04,0.4,0.172222222
-0.02,0.41,0.175
-0.04,0.42,0.177777778
-0.02,0.42,0.180555556
-0.04,0.41,0.183333333
-0.06,0.4,0.186111111
-0.06,0.42,0.188888889
-0.05,0.43,0.191666667
-0.05,0.42,0.194444444
-0.07,0.42,0.197222222
-0.07,0.4,0.2
-0.08,0.4,0.202777778
-0.08,0.42,0.205555556
-0.08,0.42,0.208333333
-0.09,0.43,0.211111111
-0.08,0.43,0.213888889
-0.1,0.42,0.216666667
-0.1,0.42,0.219444444
-0.11,0.43,0.222222222
-0.1,0.45,0.225
-0.1,0.44,0.227777778
-0.11,0.44,0.230555556
-0.11,0.44,0.233333333
-0.13,0.43,0.236111111
-0.13,0.44,0.238888889
-0.13,0.45,0.241666667
-0.13,0.45,0.244444444
-0.13,0.44,0.247222222
-0.15,0.43,0.25
-0.16,0.43,0.252777778
-0.16,0.43,0.255555556
-0.16,0.44,0.258333333
-0.14,0.44,0.261111111
-0.15,0.42,0.263888889
-0.16,0.41,0.266666667
-0.17,0.41,0.269444444
-0.16,0.42,0.272222222
-0.15,0.42,0.275
-0.15,0.43,0.277777778
-0.16,0.42,0.280555556
-0.16,0.42,0.283333333
-0.16,0.41,0.286111111
-0.17,0.42,0.288888889
-0.16,0.42,0.291666667
-0.16,0.42,0.294444444
-0.16,0.43,0.297222222
-0.15,0.42,0.3
-0.16,0.41,0.302777778
-0.14,0.42,0.305555556
-0.14,0.43,0.308333333
-0.14,0.43,0.311111111
-0.13,0.42,0.313888889
-0.13,0.4,0.316666667
-0.14,0.41,0.319444444
-0.14,0.41,0.322222222
-0.13,0.42,0.325
-0.13,0.4,0.327777778
-0.13,0.41,0.330555556
-0.12,0.4,0.333333333
-0.13,0.4,0.336111111
-0.13,0.42,0.338888889
-0.13,0.42,0.341666667
-0.11,0.42,0.344444444
-0.1,0.41,0.347222222
-0.13,0.4,0.35
-0.13,0.4,0.352777778
-0.12,0.41,0.355555556
-0.1,0.42,0.358333333
-0.1,0.44,0.361111111
-0.11,0.43,0.363888889
-0.12,0.41,0.366666667
-0.11,0.4,0.369444444
-0.1,0.42,0.372222222
-0.1,0.42,0.375
-0.1,0.42,0.377777778
-0.1,0.41,0.380555556
-0.11,0.4,0.383333333
-0.12,0.4,0.386111111
-0.11,0.4,0.388888889
-0.1,0.42,0.391666667
-0.08,0.41,0.394444444
-0.09,0.42,0.397222222
-0.08,0.4,0.4
-0.1,0.4,0.402777778
-0.11,0.41,0.405555556
-0.1,0.42,0.408333333
-0.09,0.42,0.411111111
-0.08,0.42,0.413888889
-0.1,0.41,0.416666667
-0.12,0.41,0.419444444
-0.12,0.43,0.422222222
-0.1,0.44,0.425
-0.08,0.43,0.427777778
-0.08,0.42,0.430555556
-0.1,0.4,0.433333333
-0.11,0.4,0.436111111
-0.12,0.42,0.438888889
-0.11,0.42,0.441666667
-0.08,0.42,0.444444444
-0.08,0.4,0.447222222
-0.1,0.4,0.45
-0.11,0.4,0.452777778
-0.11,0.4,0.455555556
-0.09,0.42,0.458333333
-0.08,0.42,0.461111111
-0.08,0.42,0.463888889
-0.08,0.4,0.466666667
-0.1,0.4,0.469444444
-0.1,0.42,0.472222222
-0.09,0.44,0.475
-0.08,0.42,0.477777778
-0.1,0.42,0.480555556
-0.09,0.42,0.483333333
-0.1,0.4,0.486111111
-0.1,0.42,0.488888889
-0.1,0.42,0.491666667
-0.08,0.41,0.494444444
-0.07,0.42,0.497222222
-0.09,0.4,0.5
-0.1,0.4,0.502777778
-0.1,0.4,0.505555556
-0.1,0.41,0.508333333
-0.08,0.42,0.511111111
-0.1,0.42,0.513888889
-0.1,0.39,0.516666667
-0.1,0.39,0.519444444
-0.1,0.42,0.522222222
-0.07,0.42,0.525
-0.07,0.42,0.527777778
-0.07,0.42,0.530555556
-0.09,0.4,0.533333333
-0.1,0.4,0.536111111
-0.1,0.44,0.538888889
-0.08,0.43,0.541666667
-0.08,0.42,0.544444444
-0.08,0.42,0.547222222
-0.08,0.42,0.55
-0.09,0.42,0.552777778
-0.08,0.42,0.555555556
-0.08,0.43,0.558333333
-0.08,0.42,0.561111111
-0.08,0.42,0.563888889
-0.08,0.4,0.566666667
-0.09,0.41,0.569444444
-0.08,0.43,0.572222222
-0.07,0.45,0.575
-0.07,0.44,0.577777778
-0.07,0.43,0.580555556
-0.07,0.44,0.583333333
-0.08,0.44,0.586111111
-0.07,0.45,0.588888889
-0.04,0.48,0.591666667
-0.04,0.47,0.594444444
-0.02,0.48,0.597222222
-0.02,0.49,0.6
-0.01,0.5,0.602777778
-0.01,0.5,0.605555556
0.0,0.52,0.608333333
0.03,0.51,0.611111111
0.04,0.49,0.613888889
0.05,0.5,0.616666667
0.06,0.5,0.619444444
0.07,0.49,0.622222222
0.1,0.48,0.625
0.13,0.49,0.627777778
0.13,0.47,0.630555556
0.13,0.47,0.633333333
0.13,0.47,0.636111111
0.14,0.48,0.638888889
0.14,0.49,0.641666667
0.17,0.49,0.644444444
0.19,0.48,0.647222222
0.17,0.49,0.65
0.16,0.5,0.652777778
0.16,0.5,0.655555556
0.13,0.5,0.658333333
0.08,0.48,0.661111111
0.04,0.47,0.663888889
-0.01,0.45,0.666666667
-0.04,0.45,0.669444444
-0.07,0.46,0.672222222
-0.1,0.46,0.675
-0.12,0.44,0.677777778
-0.13,0.44,0.680555556
-0.15,0.43,0.683333333
-0.14,0.43,0.686111111
-0.13,0.44,0.688888889
-0.13,0.45,0.691666667
-0.13,0.44,0.694444444
-0.13,0.44,0.697222222
-0.13,0.44,0.7
-0.14,0.44,0.702777778
-0.13,0.44,0.705555556
-0.13,0.45,0.708333333
-0.11,0.44,0.711111111
-0.12,0.44,0.713888889
-0.11,0.44,0.716666667
-0.13,0.44,0.719444444
-0.13,0.44,0.722222222
-0.13,0.45,0.725
-0.12,0.45,0.727777778
-0.13,0.44,0.730555556
-0.13,0.43,0.733333333
-0.15,0.44,0.736111111
-0.13,0.44,0.738888889
-0.13,0.44,0.741666667
-0.13,0.45,0.744444444
-0.13,0.44,0.747222222
-0.13,0.44,0.75
-0.13,0.44,0.752777778
-0.13,0.46,0.755555556
-0.13,0.45,0.758333333
-0.12,0.47,0.761111111
-0.12,0.45,0.763888889
-0.13,0.45,0.766666667
-0.13,0.44,0.769444444
-0.13,0.45,0.772222222
-0.12,0.48,0.775
-0.1,0.45,0.777777778
-0.1,0.42,0.780555556
-0.11,0.35,0.783333333
-0.1,0.27,0.786111111
-0.06,0.17,0.788888889
0.03,0.08,0.791666667
0.12,-0.02,0.794444444
0.21,-0.19,0.797222222
0.31,-0.37,0.8
0.39,-0.57,0.802777778
0.43,-0.72,0.805555556
0.4,-0.79,0.808333333
0.4,-0.79,0.811111111
0.42,-0.76,0.813888889
0.46,-0.76,0.816666667
0.49,-0.72,0.819444444
0.52,-0.67,0.822222222
0.54,-0.64,0.825
0.55,-0.6,0.827777778
0.56,-0.59,0.830555556
0.58,-0.59,0.833333333
0.6,-0.55,0.836111111
0.6,-0.54,0.838888889
0.58,-0.49,0.841666667
0.47,-0.45,0.844444444
0.31,-0.41,0.847222222
0.13,-0.36,0.85
-0.02,-0.32,0.852777778
-0.14,-0.29,0.855555556
-0.3,-0.22,0.858333333
-0.45,-0.12,0.861111111
-0.56,-0.05,0.863888889
-0.63,0.02,0.866666667
-0.69,0.08,0.869444444
-0.64,0.17,0.872222222
-0.57,0.25,0.875
-0.5,0.32,0.877777778
-0.48,0.37,0.880555556
-0.46,0.43,0.883333333
-0.45,0.47,0.886111111
-0.4,0.53,0.888888889
-0.33,0.59,0.891666667
-0.29,0.62,0.894444444
-0.28,0.65,0.897222222
-0.28,0.65,0.9
-0.28,0.66,0.902777778
-0.28,0.68,0.905555556
-0.25,0.7,0.908333333
-0.26,0.7,0.911111111
-0.26,0.72,0.913888889
-0.26,0.7,0.916666667
-0.26,0.71,0.919444444
-0.26,0.72,0.922222222
-0.26,0.75,0.925
-0.26,0.74,0.927777778
-0.26,0.74,0.930555556
-0.26,0.74,0.933333333
-0.28,0.76,0.936111111
-0.27,0.77,0.938888889
-0.27,0.79,0.941666667
-0.29,0.79,0.944444444
-0.29,0.79,0.947222222
-0.3,0.78,0.95
-0.3,0.79,0.952777778
-0.3,0.8,0.955555556
-0.3,0.81,0.958333333
-0.28,0.81,0.961111111
-0.28,0.79,0.963888889
-0.28,0.79,0.966666667
-0.31,0.8,0.969444444
-0.31,0.81,0.972222222
-0.29,0.82,0.975
-0.29,0.82,0.977777778
-0.3,0.82,0.980555556
-0.3,0.82,0.983333333
-0.32,0.82,0.986111111
-0.31,0.84,0.988888889
-0.31,0.85,0.991666667
-0.3,0.85,0.994444444
-0.3,0.84,0.997222222
-0.3,0.84,1.0
-0.3,0.86,1.002777778
-0.31,0.86,1.005555556
-0.31,0.86,1.008333333
-0.31,0.86,1.011111111
-0.28,0.86,1.013888889
-0.3,0.84,1.016666667
-0.31,0.84,1.019444444
-0.31,0.86,1.022222222
-0.29,0.86,1.025
-0.3,0.85,1.027777778
-0.31,0.85,1.030555556
-0.33,0.85,1.033333333
-0.32,0.85,1.036111111
-0.32,0.86,1.038888889
-0.31,0.86,1.041666667
-0.31,0.86,1.044444444
-0.3,0.86,1.047222222
-0.31,0.86,1.05
-0.33,0.85,1.052777778
-0.3,0.87,1.055555556
-0.29,0.89,1.058333333
-0.29,0.88,1.061111111
-0.28,0.86,1.063888889
-0.29,0.86,1.066666667
-0.3,0.84,1.069444444
-0.28,0.85,1.072222222
-0.27,0.86,1.075
-0.27,0.84,1.077777778
-0.26,0.82,1.080555556
-0.28,0.82,1.083333333
-0.28,0.81,1.086111111
-0.28,0.81,1.088888889
-0.25,0.82,1.091666667
-0.24,0.81,1.094444444
-0.24,0.79,1.097222222
-0.25,0.77,1.1
-0.25,0.77,1.102777778
-0.23,0.77,1.105555556
-0.22,0.78,1.108333333
-0.19,0.77,1.111111111
-0.19,0.74,1.113888889
-0.19,0.72,1.116666667
-0.19,0.72,1.119444444
-0.19,0.72,1.122222222
-0.16,0.72,1.125
-0.14,0.7,1.127777778
-0.14,0.69,1.130555556
-0.14,0.66,1.133333333
-0.15,0.66,1.136111111
-0.14,0.65,1.138888889
-0.13,0.65,1.141666667
-0.12,0.64,1.144444444
-0.1,0.62,1.147222222
-0.11,0.61,1.15
-0.13,0.6,1.152777778
-0.11,0.6,1.155555556
-0.09,0.6,1.158333333
-0.07,0.59,1.161111111
-0.07,0.59,1.163888889
-0.07,0.58,1.166666667
-0.08,0.58,1.169444444
-0.07,0.59,1.172222222
-0.07,0.59,1.175
-0.07,0.59,1.177777778
-0.06,0.58,1.180555556
-0.07,0.57,1.183333333
-0.07,0.56,1.186111111
-0.07,0.57,1.188888889
-0.04,0.57,1.191666667
-0.06,0.57,1.194444444
-0.07,0.56,1.197222222
-0.07,0.55,1.2
-0.08,0.56,1.202777778
-0.07,0.56,1.205555556
-0.07,0.57,1.208333333
-0.07,0.57,1.211111111
-0.05,0.57,1.213888889
-0.07,0.55,1.216666667
-0.1,0.55,1.219444444
-0.09,0.57,1.222222222
-0.07,0.59,1.225
-0.07,0.58,1.227777778
-0.08,0.59,1.230555556
-0.08,0.57,1.233333333
-0.09,0.57,1.236111111
-0.08,0.59,1.238888889
-0.09,0.6,1.241666667
-0.07,0.59,1.244444444
-0.08,0.59,1.247222222
-0.1,0.58,1.25
-0.1,0.59,1.252777778
